song_id,track_uri,track_name,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels,agglo_labels,gaussian_labels
47,spotify:track:1Jrn6agPxzgRMh4SKfLz7A,Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,0.734,0.927,0.042,0.076,0.00134,0.0465,0.901,118.039,7,6,1
48,spotify:track:1qk9ujVgudgU8CyhKOx8ji,Somebody That I Used To Know,"Gotye, Kimbra",0.864,0.515,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,2,9,9
49,spotify:track:4KPq1367Nd9DtkmSmPsycY,Matthew & Son - Stereo Version,Yusuf / Cat Stevens,0.534,0.327,0.0335,0.0503,0.00213,0.281,0.767,139.867,8,0,3
50,spotify:track:0GmtIUZe8STZOT6jDBC69l,Heaven & Hell - US Single Version,The Easybeats,0.483,0.676,0.0323,0.505,6.32e-05,0.297,0.502,116.418,3,0,3
51,spotify:track:5jWZR3cKUChstrHpNnTPCS,You Are The Sunshine Of My Life,Stevie Wonder,0.471,0.574,0.0509,0.802,2.55e-06,0.0931,0.661,131.892,2,9,3
52,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,0.681,0.372,0.0432,0.64,0.0,0.169,0.476,91.873,1,5,9
53,spotify:track:6rBgZvSsyJrk5ZXtKc8mcf,You're the One,Petula Clark,0.485,0.721,0.0348,0.479,0.0,0.67,0.88,136.892,6,9,3
54,spotify:track:4UMTp91LHhvW33ol9ZQH0Q,We Made You,Eminem,0.924,0.853,0.0792,0.107,1.45e-06,0.129,0.67,114.003,7,6,1
55,spotify:track:6FmtB3SLE6eqb24VfMnH4z,Round Round,Sugababes,0.735,0.859,0.0346,0.00289,3.95e-06,0.111,0.758,126.587,7,6,1
56,spotify:track:1lItf5ZXJc1by9SbPeljFd,Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",0.807,0.887,0.275,0.00381,0.0,0.391,0.78,160.517,7,1,6
57,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,Poker Face,Lady Gaga,0.851,0.806,0.0786,0.12,1.33e-06,0.121,0.776,119.001,7,6,1
58,spotify:track:3q2gRjU2UdOYRDY1p4cNHr,It Must Be Love,Madness,0.536,0.606,0.0355,0.103,1.08e-05,0.255,0.719,146.425,8,8,3
59,spotify:track:2RMeGXGofxpGolBUyvTnZf,The Wild Colonial Boy,Dr. Hook,0.448,0.312,0.0552,0.84,3.8e-06,0.0848,0.403,158.27,1,5,3
60,spotify:track:6j4cO3gMhTuG9GTmdUX7op,You Talk Too Much,Joe Jones,0.719,0.639,0.0376,0.797,1.43e-05,0.075,0.727,128.272,2,9,9
61,spotify:track:2YGFjCtEo5hhNutCO8RdQf,Can't Get Enough Of You Baby,Smash Mouth,0.662,0.891,0.0291,0.0128,0.0,0.448,0.823,123.728,7,6,8
62,spotify:track:1Co9NGodpCCvWuIfe0PzIS,One In A Million,"Jordie Ireland, Ava Hayz",0.748,0.551,0.0907,0.327,1.43e-05,0.096,0.334,104.175,3,1,3
63,spotify:track:0hKF8N8aflF1uDzEEnPr2j,Life Is A Highway,Tom Cochrane,0.683,0.751,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,7,6,3
64,spotify:track:76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,0.836,0.544,0.0943,0.0403,0.0,0.0824,0.51,97.028,0,0,6
65,spotify:track:6bH2owMgMDNW6zygbotS49,As Long as You Love Me,Backstreet Boys,0.804,0.801,0.0305,0.275,3.29e-05,0.215,0.826,98.12,7,6,3
66,spotify:track:5U2m76qAMdr3gXI0g6ptlG,Come & Get It,Selena Gomez,0.349,0.795,0.0758,0.0102,0.000138,0.0812,0.542,148.985,5,3,8
67,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,0.951,0.6,0.0685,0.106,0.0,0.0712,0.822,125.04,8,0,1
68,spotify:track:5wzEKaovqFK2LXKKzScukl,Philadelphia Freedom,Elton John,0.702,0.626,0.0298,0.0744,2e-05,0.072,0.799,125.199,8,0,1
69,spotify:track:7z73ehYAn9O1XP9XlCqVtd,Who Dat Girl (feat. Akon),"Flo Rida, Akon",0.719,0.616,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,8,0,1
70,spotify:track:33XpXmKmVTopPKnxTgbVOD,True Colours,Kasey Chambers,0.704,0.247,0.0297,0.64,1.72e-06,0.085,0.236,86.952,1,5,9
71,spotify:track:093UVG0vgKjxj4UDjLIulw,Set Adrift On Memory Bliss,P.M. Dawn,0.737,0.784,0.0777,0.00682,0.2,0.537,0.587,99.773,6,7,0
72,spotify:track:043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,"Swedish House Mafia, John Martin",0.632,0.88,0.0463,0.0144,0.0021,0.118,0.338,129.007,0,3,8
73,spotify:track:4qjrCkcVbsYlitCqbBkeKe,Colors Of The Wind - End Title,Vanessa Williams,0.574,0.238,0.0476,0.365,1.32e-05,0.126,0.126,84.018,3,2,3
74,spotify:track:2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),"Labrinth, Emeli Sandé",0.561,0.522,0.0318,0.227,0.0,0.104,0.238,83.962,3,2,9
75,spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,Wouldn't It Be Nice,The Beach Boys,0.392,0.629,0.0335,0.718,3.76e-06,0.129,0.72,124.511,2,9,9
76,spotify:track:5id3Rqn7SPj1LX4FfY4nGz,Together,Sia,0.521,0.877,0.0683,0.0132,0.0806,0.0929,0.199,180.007,9,3,2
77,spotify:track:0R7YVi7w41Dr9jU5vblAok,Sweat - Remix,"Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer",0.813,0.732,0.03,0.0597,0.00137,0.0826,0.731,130.02,8,0,1
78,spotify:track:0CsM8VGDi38kusMv3pxyj1,True - Single Edit,Spandau Ballet,0.742,0.533,0.0288,0.459,0.148,0.064,0.391,97.395,3,2,0
79,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,One,Ed Sheeran,0.464,0.321,0.0418,0.877,0.0,0.0789,0.306,93.528,1,5,9
80,spotify:track:6uBhi9gBXWjanegOb2Phh0,Stay,"Zedd, Alessia Cara",0.69,0.622,0.0622,0.253,0.0,0.116,0.544,102.04,0,1,1
81,spotify:track:2Sy1KFLXBQjxqj6lCeIBCB,Oh My Goodness,Olly Murs,0.638,0.803,0.0681,0.0244,0.0,0.169,0.756,128.035,7,6,8
82,spotify:track:77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia),"David Guetta, Sia",0.604,0.788,0.103,0.0678,0.153,0.127,0.301,126.06,9,3,0
83,spotify:track:1zGzAMc21oKstWlEvXRp2i,Dream Girl,David Jones,0.617,0.658,0.0512,0.494,0.0,0.293,0.949,128.363,2,9,3
84,spotify:track:0xdTHRkRv4sTrNikBNiz1u,View From a Bridge,Kim Wilde,0.593,0.834,0.0353,0.0486,0.000584,0.115,0.813,148.719,7,8,9
85,spotify:track:6nM9Sr6MPcfpqwQTD7PZGi,Wrapped Up (feat. Travie McCoy),"Olly Murs, Travie McCoy",0.787,0.848,0.0549,0.0915,0.0,0.15,0.947,121.989,7,6,1
86,spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,0.667,0.373,0.05,0.785,0.0,0.0906,0.0823,124.148,1,5,9
87,spotify:track:7DHjerIyPHNokLIQOmbo9b,Like It Like That,Guy Sebastian,0.585,0.973,0.0733,0.00676,5.21e-05,0.262,0.958,161.05,7,8,8
88,spotify:track:10SDxx0CFWGqgVVBeX22TP,No Pressure,"Justin Bieber, Big Sean",0.644,0.595,0.215,0.121,0.0,0.279,0.554,148.889,0,1,6
89,spotify:track:4du0TY3NTgvQGlelrBHfDL,I Wanna Be With You,Mandy Moore,0.515,0.908,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,5,8,8
90,spotify:track:6SLTPbDxDYR0uSMTT7gSb7,I'm In Control,"AlunaGeorge, Popcaan",0.725,0.844,0.0347,0.363,0.000716,0.125,0.711,104.001,7,0,9
91,spotify:track:4Uc6BcPeBKfZUlX6jhumGv,Can't Remember to Forget You,"Shakira, Rihanna",0.694,0.81,0.0661,0.122,0.0,0.141,0.824,137.968,7,6,1
92,spotify:track:7hJBjMGJHHQ4cR4Jhzp1d1,"It Ain't Me, Babe (with June Carter Cash)","Johnny Cash, June Carter Cash",0.634,0.587,0.03,0.271,0.0,0.165,0.623,105.642,8,0,9
93,spotify:track:3tFECpGckFpp0HpQje78gi,Forever Young,Youth Group,0.379,0.664,0.0307,0.0167,0.000679,0.0915,0.301,115.272,9,3,9
94,spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,Carole King,0.45,0.442,0.0353,0.493,0.00564,0.134,0.812,208.282,2,5,4
95,spotify:track:2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",0.633,0.673,0.258,0.297,0.0,0.206,0.659,86.776,8,1,6
96,spotify:track:4MVA30NmvNtpbDon1ZG7mk,Star Wars Theme/Cantina Band,Meco,0.677,0.915,0.0912,0.00121,0.916,0.322,0.545,124.929,4,4,0
97,spotify:track:2qkaOiJ0XetajJUP6ThgMB,Jump In My Car,Ted Mulry Gang,0.769,0.721,0.109,0.488,1.09e-06,0.316,0.857,123.057,2,9,3
98,spotify:track:6BnONjR7itGMEqwxKTIlRM,Safe And Sound,Capital Cities,0.653,0.822,0.033,0.00021,0.0047,0.0838,0.762,117.949,7,6,7
99,spotify:track:4Y2glvLjQGOb4dXnwm1hQf,Witchcraft,Pendulum,0.42,0.969,0.0581,2.84e-05,0.00861,0.379,0.182,174.038,9,3,7
100,spotify:track:0QxCLD4xJlE8vv0Cvrb8TO,'74-'75,The Connells,0.53,0.59,0.025,0.183,0.00227,0.0675,0.43,144.202,9,1,9
101,spotify:track:4ePP9So5xRzspjLFVVbj90,Two Princes,Spin Doctors,0.543,0.912,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,7,6,8
102,spotify:track:6JHLoGr7Gss3HhBp5RdKiH,Sorry,Toni Braxton,0.699,0.68,0.0276,0.00993,0.0,0.11,0.578,94.979,0,0,8
103,spotify:track:2LWJYvdBdcG8JMFQ1zOduR,I Begin to Wonder,Dannii Minogue,0.768,0.741,0.0423,0.0234,7.2e-05,0.242,0.95,125.06,7,6,8
104,spotify:track:0mkRjDV6wzXg9rFUL1BEW0,iYiYi (feat. Flo Rida),"Cody Simpson, Flo Rida",0.629,0.721,0.0287,0.0395,0.0,0.349,0.787,159.951,7,8,3
105,spotify:track:7utcI11TJOG04Vl3noomNX,This Is Tomorrow,Bryan Ferry,0.421,0.66,0.0407,0.152,0.444,0.0948,0.512,119.46,4,4,0
106,spotify:track:5yVIlYEHZxQVLyInCdldoS,Impossible,James Arthur,0.376,0.695,0.0933,0.135,0.0,0.11,0.302,169.533,9,2,6
107,spotify:track:78Rxtykmgn8XZTGyYBpaDn,Hello - Edited Version,"Stafford Brothers, Lil Wayne, Christina Milian",0.653,0.845,0.0352,0.219,0.0,0.921,0.552,123.086,6,7,3
108,spotify:track:5G5S96EyI1Y5g6SpRSHbrb,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992","Mariah Carey, Trey Lorenz",0.216,0.544,0.0431,0.663,0.0,0.882,0.301,75.017,1,5,3
109,spotify:track:31sSFHIe4NaxltVFOEIcTa,working,"Tate McRae, Khalid",0.783,0.435,0.0588,0.282,0.0,0.0833,0.512,106.974,3,1,1
110,spotify:track:2fykwqa2RQzI6nBCwhTfqD,Love Me Like You,Little Mix,0.783,0.67,0.0432,0.199,0.0,0.274,0.842,106.05,8,6,3
111,spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"Powfu, beabadoobee",0.726,0.431,0.135,0.731,0.0,0.696,0.348,144.026,1,5,5
112,spotify:track:0bNKoOshkbM0HmS3KXeM89,Borrow My Heart,Taylor Henderson,0.571,0.714,0.0303,0.08,0.0,0.478,0.741,122.955,6,8,3
113,spotify:track:13j7S1J1MVDY3z2Ljl9O1H,Always,Samantha Jade,0.648,0.72,0.05,0.00266,0.0,0.0717,0.594,108.012,0,0,1
114,spotify:track:04iCsRraf8cH2HnS26BuwY,Nasty Girl - Main,Nitty,0.937,0.98,0.0473,0.0566,0.000373,0.0273,0.939,122.007,7,6,1
115,spotify:track:4hrae8atte6cRlSC9a7VCO,Always On Time,"Ja Rule, Ashanti",0.839,0.706,0.199,0.208,0.0,0.242,0.839,96.673,8,6,6
116,spotify:track:5MWKU5MnIuv5uQez4n0byz,Cream - Without Rap Monologue,Prince,0.852,0.591,0.0675,0.103,0.421,0.0468,0.826,115.592,4,4,0
117,spotify:track:5RBPXlIiZVrr8hab7LpRJB,Love Action (I Believe In Love),The Human League,0.702,0.588,0.0321,0.0805,0.0193,0.184,0.728,121.738,8,0,7
118,spotify:track:7ddUIAiI2kH0rLBbi27wrH,Never Gonna Fall in Love Again - Live,Mark Holden,0.557,0.38,0.0259,0.776,0.0667,0.0989,0.569,99.83,1,5,4
119,spotify:track:3mYh6egfMyl0Dek8r9ciK6,You Should Hear How She Talks About You,Melissa Manchester,0.753,0.834,0.115,0.212,2.93e-05,0.259,0.852,131.909,7,6,6
120,spotify:track:76qB2ZEZlEJAMqMqUjKusp,(Everything I Do) I Do It For You,Bryan Adams,0.52,0.363,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,9,2,9
121,spotify:track:4xCVHlmzEyIn1t4gXYsMaf,I've Gotta Get A Message To You,Bee Gees,0.442,0.596,0.0281,0.037,4.46e-06,0.172,0.497,83.414,0,1,9
122,spotify:track:4mnTMsp8Cgf9TNiQMhH11L,I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,0.7,0.465,0.358,0.544,0.0,0.606,0.719,108.102,2,0,5
123,spotify:track:5IRWgQiN0c2i4U97iE3OoY,Heart of Gold - 2017 Remaster,Neil Young,0.542,0.444,0.0295,0.212,0.0519,0.102,0.827,171.719,8,0,4
124,spotify:track:70JrLEkI7q8R0xkWI0YU96,Shake Ya Tailfeather - Radio,"Murphy Lee, Nelly, Diddy",0.715,0.733,0.262,0.134,0.0,0.157,0.897,87.665,7,6,6
125,spotify:track:69YyPU1oElukhL5jgMi2wA,Come Home with Me,Guy Sebastian,0.706,0.719,0.0573,0.00706,0.0,0.0377,0.495,126.112,0,1,8
126,spotify:track:40ay0VMg01sF2trze2DrNL,Drop the Boy,Bros,0.553,0.843,0.0489,0.00307,0.0,0.0818,0.834,177.113,7,8,8
127,spotify:track:66CFbqJScx6zRieGllITcs,See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",0.689,0.481,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,3,2,3
128,spotify:track:1KONmY3enP3r3nIPQidWAy,Now That We Found Love,"Heavy D & The Boyz, Aaron Hall",0.744,0.697,0.0631,0.039,0.0,0.171,0.683,119.955,8,0,8
129,spotify:track:4MPTj8lMMvxLwT3EwuXFop,Call Out My Name,The Weeknd,0.449,0.599,0.0369,0.211,0.0,0.327,0.165,134.144,9,2,3
130,spotify:track:0FExfsU24F7hO8f1UOtApd,Love Letters,Billy Thorpe & The Aztecs,0.379,0.494,0.0271,0.685,6.33e-06,0.204,0.231,142.342,1,5,9
131,spotify:track:7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,0.805,0.558,0.041,0.164,2.2e-05,0.0546,0.965,114.95,8,0,1
132,spotify:track:3h9mCACYWP4iDVFEBhyyYC,"Doin' The Do - 7"" Radio Mix",Betty Boo,0.801,0.961,0.0604,0.00765,7.7e-05,0.0639,0.909,120.378,7,6,1
133,spotify:track:3zByVQLvdXUaDTubfWkpCk,Sweet Caroline,Neil Diamond,0.529,0.127,0.0274,0.611,0.000109,0.237,0.578,63.05,1,5,3
134,spotify:track:4qO03RMQm88DdpTJcxlglY,Call Me,Blondie,0.56,0.825,0.0347,0.000785,0.00246,0.0892,0.74,142.669,7,8,8
135,spotify:track:0JCAezTC5IlK1a9o0YBEsD,Don't Take It Personal (Just One of Dem Days),Monica,0.731,0.355,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,8,0,6
136,spotify:track:0lefFBLiBwU0Qu24NRazZ3,48 Crash,Suzi Quatro,0.643,0.765,0.0933,0.00157,0.00977,0.169,0.868,137.979,7,6,7
137,spotify:track:4dVbhS6OiYvFikshyaQaCN,My Hero,Foo Fighters,0.398,0.927,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,9,3,8
138,spotify:track:2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,Train,0.591,0.935,0.0478,0.000284,0.000278,0.142,0.736,140.043,7,8,8
139,spotify:track:5edBgVtRD0fvWk140Sl21T,Counting Stars,OneRepublic,0.662,0.71,0.0364,0.0603,0.0,0.119,0.465,121.979,0,1,1
140,spotify:track:6DU7X9yhp4xgkhNHJxgEOZ,House of the Rising Sun,Frijid Pink,0.254,0.761,0.0472,0.0006,0.0004,0.265,0.412,118.752,5,3,8
141,spotify:track:6eypw7fGYBtYxD3dCE2pld,Do It Again,The Chemical Brothers,0.867,0.714,0.0662,0.0224,0.704,0.104,0.623,123.974,4,4,2
142,spotify:track:0EPZixF5ti4OsA8lYrerrg,Together We Are Beautiful,Fern Kinney,0.761,0.484,0.0381,0.366,2.81e-05,0.189,0.826,110.45,8,0,3
143,spotify:track:0YWUf0FuvbOvAlrOAVaH8S,Keep It Comin' Love,KC & The Sunshine Band,0.773,0.721,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,8,6,1
144,spotify:track:6Q25js1UmXo9I5HZJbZlRM,Stay Awhile,The Bells,0.558,0.268,0.0299,0.791,0.00488,0.0863,0.432,84.559,1,5,4
145,spotify:track:6SCsRA5HxLfOtN4sQN2Lkl,Me Myself & I,Scandal'us,0.709,0.869,0.124,0.103,0.0,0.0769,0.773,99.906,7,6,6
146,spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,Be the One,Dua Lipa,0.661,0.651,0.0499,0.117,1.32e-05,0.056,0.368,87.46,0,1,1
147,spotify:track:2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",0.612,0.84,0.0509,0.112,0.0,0.116,0.438,129.042,0,8,1
148,spotify:track:1y5V5qja332UyMeUurFhDS,Private Idaho,The B-52's,0.551,0.882,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,7,8,8
149,spotify:track:3maCmHhpmJ6hzJjEnm0ieT,I Never Told You,Colbie Caillat,0.498,0.634,0.0288,0.166,0.0,0.3,0.36,144.104,9,2,3
150,spotify:track:0p1cpgsmrHcYJ4kOvOSPsw,Saving All My Love For You,Dami Im,0.334,0.557,0.0496,0.155,1.66e-06,0.106,0.362,197.622,9,2,9
